trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12221F3520742:2025-01-22T00:42:25Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12221F3520742:2025-01-22T00:42:25Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12221F3520742:2025-01-22T00:42:25Z,22:34:00,22:38:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12221F3520742:2025-01-22T00:42:25Z,23:13:00,23:16:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12221F3520742:2025-01-22T00:42:25Z,23:52:00,23:52:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12250F3497111:2025-01-22T00:42:25Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F3497111:2025-01-22T00:42:25Z,10:55:00,10:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12251F3516696:2025-01-21T00:39:14Z,07:11:00,07:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12251F3516696:2025-01-21T00:39:14Z,09:14:00,09:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12252F3512853:2025-01-21T00:39:14Z,09:46:00,09:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12252F3512853:2025-01-21T00:39:14Z,11:55:00,11:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12253F3665370:2025-01-21T00:39:14Z,18:47:00,18:47:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12253F3665370:2025-01-21T00:39:14Z,20:50:00,20:50:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12254F3601754:2025-01-21T00:39:14Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F3601754:2025-01-21T00:39:14Z,12:55:00,12:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F3684887:2024-11-29T10:03:28Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F3684887:2024-11-29T10:03:28Z,12:55:00,12:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12255F3517299:2025-01-22T00:42:25Z,11:11:00,11:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12255F3517299:2025-01-22T00:42:25Z,13:14:00,13:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12256F3519174:2025-01-21T00:39:14Z,20:50:00,20:50:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12256F3519174:2025-01-21T00:39:14Z,22:59:00,22:59:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12258F3517589:2025-01-22T00:42:25Z,13:46:00,13:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12258F3517589:2025-01-22T00:42:25Z,15:55:00,15:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12258F3810045:2025-01-22T00:42:25Z,13:46:00,13:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12258F3810045:2025-01-22T00:42:25Z,15:55:00,15:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12259F3830657:2025-01-22T00:42:25Z,12:11:00,12:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12259F3830657:2025-01-22T00:42:25Z,14:14:00,14:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12259F3830659:2025-01-22T00:42:25Z,12:11:00,12:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12259F3830659:2025-01-22T00:42:25Z,14:14:00,14:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12259F3844231:2025-01-22T00:42:25Z,12:11:00,12:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12259F3844231:2025-01-22T00:42:25Z,14:14:00,14:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12260F3517049:2024-12-11T00:26:38Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3517049:2024-12-11T00:26:38Z,15:24:00,15:27:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3517049:2024-12-11T00:26:38Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F3517050:2025-01-22T00:42:25Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3517050:2025-01-22T00:42:25Z,15:24:00,15:27:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3517050:2025-01-22T00:42:25Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F3517499:2024-11-29T10:03:28Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3517499:2024-11-29T10:03:28Z,15:24:00,15:27:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3517499:2024-11-29T10:03:28Z,17:23:00,17:23:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12261F3827817:2025-01-21T00:39:14Z,15:07:00,15:07:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12261F3827817:2025-01-21T00:39:14Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F3827818:2025-01-21T00:39:14Z,15:07:00,15:07:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12261F3827818:2025-01-21T00:39:14Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F3827819:2025-01-21T00:39:14Z,15:07:00,15:07:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12261F3827819:2025-01-21T00:39:14Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F3827820:2025-01-21T00:39:14Z,15:07:00,15:07:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12261F3827820:2025-01-21T00:39:14Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12263F3517567:2025-01-21T00:39:14Z,16:11:00,16:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12263F3517567:2025-01-21T00:39:14Z,18:14:00,18:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12265F3586449:2025-01-22T00:42:25Z,14:05:00,14:05:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12265F3586449:2025-01-22T00:42:25Z,14:14:00,14:17:00,StopPoint:OCETGV INOUI-87393702,1,,0,1,
OCESN12265F3586449:2025-01-22T00:42:25Z,16:14:00,16:14:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12265F3844176:2025-01-22T00:42:25Z,14:05:00,14:05:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12265F3844176:2025-01-22T00:42:25Z,14:14:00,14:17:00,StopPoint:OCETGV INOUI-87393702,1,,0,1,
OCESN12265F3844176:2025-01-22T00:42:25Z,16:14:00,16:14:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12266F3517853:2025-01-21T00:39:14Z,17:46:00,17:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12266F3517853:2025-01-21T00:39:14Z,19:55:00,19:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12267F3517345:2025-01-21T00:39:14Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12267F3517345:2025-01-21T00:39:14Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F3518992:2025-01-21T00:39:14Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12267F3518992:2025-01-21T00:39:14Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
