route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000001,OCESN12221F3520742:2025-01-22T00:42:25Z,12221,1,1,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000002,OCESN12250F3497111:2025-01-22T00:42:25Z,12250,0,2,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000003,OCESN12251F3516696:2025-01-21T00:39:14Z,12251,1,3,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000004,OCESN12252F3512853:2025-01-21T00:39:14Z,12252,1,4,
OCESN-87391003-87581009,000004,OCESN12253F3665370:2025-01-21T00:39:14Z,12253,0,5,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12254F3601754:2025-01-21T00:39:14Z,12254,0,6,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000006,OCESN12254F3684887:2024-11-29T10:03:28Z,12254,0,7,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000007,OCESN12255F3517299:2025-01-22T00:42:25Z,12255,1,8,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000004,OCESN12256F3519174:2025-01-21T00:39:14Z,12256,0,9,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000008,OCESN12258F3517589:2025-01-22T00:42:25Z,12258,0,10,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000009,OCESN12258F3810045:2025-01-22T00:42:25Z,12258,0,11,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000010,OCESN12259F3830657:2025-01-22T00:42:25Z,12259,1,12,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000011,OCESN12259F3830659:2025-01-22T00:42:25Z,12259,1,13,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000012,OCESN12259F3844231:2025-01-22T00:42:25Z,12259,1,14,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000004,OCESN12260F3517049:2024-12-11T00:26:38Z,12260,0,15,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000013,OCESN12260F3517050:2025-01-22T00:42:25Z,12260,0,16,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000014,OCESN12260F3517499:2024-11-29T10:03:28Z,12260,0,17,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000015,OCESN12261F3827817:2025-01-21T00:39:14Z,12261,1,18,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000016,OCESN12261F3827818:2025-01-21T00:39:14Z,12261,1,19,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000006,OCESN12261F3827819:2025-01-21T00:39:14Z,12261,1,20,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000017,OCESN12261F3827820:2025-01-21T00:39:14Z,12261,1,21,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000004,OCESN12263F3517567:2025-01-21T00:39:14Z,12263,1,22,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000018,OCESN12265F3586449:2025-01-22T00:42:25Z,12265,1,23,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000009,OCESN12265F3844176:2025-01-22T00:42:25Z,12265,1,24,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000004,OCESN12266F3517853:2025-01-21T00:39:14Z,12266,0,25,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000003,OCESN12267F3517345:2025-01-21T00:39:14Z,12267,1,26,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000019,OCESN12267F3518992:2025-01-21T00:39:14Z,12267,1,27,
